,c_albicans_single_growth,c_albicans_paired_growth,bacteria_single_growth,bacteria_paired_growth,solution_status,c_albicans_coefficient,bacteria_coefficient,interaction_type,bacteria_interaction_role
M_Lactobacillus_acidophilus_ATCC_4796,2.319699588,1.342696872,1.216170599,2.987789562,1,-0.788804343,1.296732921,Parasitism [-/+],inhibitor
M_Lactobacillus_acidophilus_La_14,2.319699588,0.836104164,1.403940565,4.727949151,1,-1.472183389,1.751732658,Parasitism [-/+],inhibitor
M_Lactobacillus_acidophilus_NCFM,2.319699588,1.494334889,1.218804819,3.037068895,1,-0.634434481,1.317212527,Parasitism [-/+],inhibitor
M_Lactobacillus_amylolyticus_DSM_11664,2.319699588,1.284757121,0.754929433,2.308579862,1,-0.852442333,1.612591942,Parasitism [-/+],inhibitor
M_Lactobacillus_amylovorus_30SC,2.319699588,1.590382724,1.453719291,3.851173283,1,-0.544563991,1.405549323,Parasitism [-/+],inhibitor
M_Lactobacillus_amylovorus_GRL1118,2.319699588,1.680624077,1.422579123,4.006191189,1,-0.464940924,1.493722376,Parasitism [-/+],inhibitor
M_Lactobacillus_amylovorus_GRL_1112,2.319699588,3.303778033,1.001016709,1.983419424,1,0.51017878,0.986523734,Mutualism [+/+],promoter
M_Lactobacillus_antri_DSM_16041,2.319699588,1.222475107,0.677297162,2.592856973,1,-0.924132893,1.936681771,Parasitism [-/+],inhibitor
M_Lactobacillus_brevis_DSM_20054,2.319699588,2.394487263,0.529615005,0.783478651,1,0.04577878,0.564949967,Commensalism [o/+],neutral
M_Lactobacillus_casei_12A,2.319699588,2.483627223,1.442342854,5.4576093,1,0.098510669,1.919854975,Commensalism [o/+],neutral
M_Lactobacillus_casei_21_1,2.319699588,1.414223213,1.473091684,3.726056611,1,-0.713928137,1.338802368,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_A2_362,2.319699588,2.499975,1.181208862,4.904146922,1,0.107975686,2.053738116,Commensalism [o/+],neutral
M_Lactobacillus_casei_ATCC_334,2.319699588,1.353889757,1.189760018,2.773652017,1,-0.776827712,1.221116195,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_casei_BL23,2.319699588,1.391363385,1.288340062,3.006484751,1,-0.737438721,1.222564193,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_ERR2221237,2.319699588,1.28740355,1.458240384,3.45967857,1,-0.849473629,1.246409446,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_ERR2221291,2.319699588,1.292634552,1.452058521,3.445191413,1,-0.843623521,1.246484542,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_ERR2221303,2.319699588,1.40184008,1.456031837,3.541497613,1,-0.726616204,1.282317669,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_ERR2221304,2.319699588,1.230578218,1.382662145,3.36685865,1,-0.91460162,1.283954479,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_ERR2221325,2.319699588,1.292634058,1.452058769,3.445191414,1,-0.843624073,1.246484297,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_UW4,2.319699588,1.648083429,1.443003568,4.4599128,1,-0.493148705,1.627940636,Parasitism [-/+],inhibitor
M_Lactobacillus_casei_W56,2.319699588,2.46886478,1.500532569,5.478972236,1,0.08990984,1.86843066,Commensalism [o/+],neutral
M_Lactobacillus_crispatus_125_2_CHN,2.319699588,1.312141687,0.858102346,2.422431983,1,-0.822014469,1.497234525,Parasitism [-/+],inhibitor
M_Lactobacillus_crispatus_214_1,2.319699588,2.593954006,0.681997927,0.88841832,1,0.161214918,0.381471789,Mutualism [+/+],promoter
